Easting,Northing,Sonde,DyeConc,UTCtimeStamp
543208.5,5403971,1A,0,9/26/2017 16:25:29
543208.5,5403971,1A,0,9/26/2017 16:25:59
543208.5,5403971,1A,0.23,9/26/2017 16:26:29
543208.5,5403971,1A,0,9/26/2017 16:26:59
543208.5,5403971,1A,0,9/26/2017 16:27:29
543208.5,5403971,1A,0,9/26/2017 16:27:59
543208.5,5403971,1A,0,9/26/2017 16:28:29
543208.5,5403971,1A,0,9/26/2017 16:28:59
543208.5,5403971,1A,0,9/26/2017 16:29:29
543208.5,5403971,1A,0,9/26/2017 16:29:59
543208.5,5403971,1A,0,9/26/2017 16:30:29
543208.5,5403971,1A,0,9/26/2017 16:30:59
543208.5,5403971,1A,0,9/26/2017 16:31:29
543208.5,5403971,1A,0,9/26/2017 16:31:59
543208.5,5403971,1A,0,9/26/2017 16:32:29
543208.5,5403971,1A,0,9/26/2017 16:32:59
543208.5,5403971,1A,0,9/26/2017 16:33:29
543208.5,5403971,1A,0,9/26/2017 16:33:59
543208.5,5403971,1A,0,9/26/2017 16:34:29
543208.5,5403971,1A,0,9/26/2017 16:34:59
543208.5,5403971,1A,0,9/26/2017 16:35:29
543208.5,5403971,1A,0,9/26/2017 16:35:59
543208.5,5403971,1A,0,9/26/2017 16:36:29
543208.5,5403971,1A,0,9/26/2017 16:36:59
543208.5,5403971,1A,0,9/26/2017 16:37:29
543208.5,5403971,1A,0,9/26/2017 16:37:59
543208.5,5403971,1A,0,9/26/2017 16:38:29
543208.5,5403971,1A,0,9/26/2017 16:38:59
543208.5,5403971,1A,0,9/26/2017 16:39:29
543208.5,5403971,1A,0,9/26/2017 16:39:59
543208.5,5403971,1A,0,9/26/2017 16:40:29
543208.5,5403971,1A,0,9/26/2017 16:40:59
543208.5,5403971,1A,0,9/26/2017 16:41:29
543208.5,5403971,1A,0,9/26/2017 16:41:59
543208.5,5403971,1A,0,9/26/2017 16:42:29
543208.5,5403971,1A,0,9/26/2017 16:42:59
543208.5,5403971,1A,0,9/26/2017 16:43:29
543208.5,5403971,1A,0,9/26/2017 16:43:59
543208.5,5403971,1A,0,9/26/2017 16:44:29
543208.5,5403971,1A,0,9/26/2017 16:44:59
543208.5,5403971,1A,0,9/26/2017 16:45:29
543208.5,5403971,1A,0,9/26/2017 16:45:59
543208.5,5403971,1A,0,9/26/2017 16:46:29
543208.5,5403971,1A,0,9/26/2017 16:46:59
543208.5,5403971,1A,0,9/26/2017 16:47:29
543208.5,5403971,1A,0,9/26/2017 16:47:59
543208.5,5403971,1A,0,9/26/2017 16:48:29
543208.5,5403971,1A,0,9/26/2017 16:48:59
543208.5,5403971,1A,0,9/26/2017 16:49:29
543208.5,5403971,1A,0,9/26/2017 16:49:59
543208.5,5403971,1A,0,9/26/2017 16:50:29
543208.5,5403971,1A,0,9/26/2017 16:50:59
543208.5,5403971,1A,0,9/26/2017 16:51:29
543208.5,5403971,1A,0,9/26/2017 16:51:59
543208.5,5403971,1A,0,9/26/2017 16:52:29
543208.5,5403971,1A,0,9/26/2017 16:52:59
543208.5,5403971,1A,0,9/26/2017 16:53:29
543208.5,5403971,1A,0,9/26/2017 16:53:59
543208.5,5403971,1A,0,9/26/2017 16:54:29
543208.5,5403971,1A,0,9/26/2017 16:54:59
543208.5,5403971,1A,0,9/26/2017 16:55:29
543208.5,5403971,1A,0,9/26/2017 16:55:59
543208.5,5403971,1A,0,9/26/2017 16:56:29
543208.5,5403971,1A,0,9/26/2017 16:56:59
543208.5,5403971,1A,0,9/26/2017 16:57:29
543208.5,5403971,1A,0,9/26/2017 16:57:59
543208.5,5403971,1A,0,9/26/2017 16:58:29
543208.5,5403971,1A,0,9/26/2017 16:58:59
543208.5,5403971,1A,0,9/26/2017 16:59:29
543208.5,5403971,1A,0,9/26/2017 16:59:59
543208.5,5403971,1A,0,9/26/2017 17:0:29
543208.5,5403971,1A,0,9/26/2017 17:0:59
543208.5,5403971,1A,0,9/26/2017 17:1:29
543208.5,5403971,1A,0,9/26/2017 17:1:59
543208.5,5403971,1A,0,9/26/2017 17:2:29
543208.5,5403971,1A,0,9/26/2017 17:2:59
543208.5,5403971,1A,0,9/26/2017 17:3:29
543208.5,5403971,1A,0,9/26/2017 17:3:59
543208.5,5403971,1A,0,9/26/2017 17:4:29
543208.5,5403971,1A,0,9/26/2017 17:4:59
543208.5,5403971,1A,0,9/26/2017 17:5:29
543208.5,5403971,1A,0,9/26/2017 17:5:59
543208.5,5403971,1A,0,9/26/2017 17:6:29
543208.5,5403971,1A,0,9/26/2017 17:6:59
543208.5,5403971,1A,0,9/26/2017 17:7:29
543208.5,5403971,1A,0,9/26/2017 17:7:59
543208.5,5403971,1A,0,9/26/2017 17:8:29
543208.5,5403971,1A,0,9/26/2017 17:8:59
543208.5,5403971,1A,0,9/26/2017 17:9:29
543208.5,5403971,1A,0,9/26/2017 17:9:59
543208.5,5403971,1A,0,9/26/2017 17:10:29
543208.5,5403971,1A,0,9/26/2017 17:10:59
543208.5,5403971,1A,0,9/26/2017 17:11:29
543208.5,5403971,1A,0,9/26/2017 17:11:59
543208.5,5403971,1A,0,9/26/2017 17:12:29
543208.5,5403971,1A,0,9/26/2017 17:12:59
543208.5,5403971,1A,0,9/26/2017 17:13:29
543208.5,5403971,1A,0,9/26/2017 17:13:59
543208.5,5403971,1A,0,9/26/2017 17:14:29
543208.5,5403971,1A,0,9/26/2017 17:14:59
543208.5,5403971,1A,0,9/26/2017 17:15:29
543208.5,5403971,1A,0,9/26/2017 17:15:59
543208.5,5403971,1A,0,9/26/2017 17:16:29
543208.5,5403971,1A,0,9/26/2017 17:16:59
543208.5,5403971,1A,0.1,9/26/2017 17:17:29
543208.5,5403971,1A,0.1,9/26/2017 17:17:59
543208.5,5403971,1A,0.1,9/26/2017 17:18:29
543208.5,5403971,1A,0.1,9/26/2017 17:18:59
543208.5,5403971,1A,0.1,9/26/2017 17:19:29
543208.5,5403971,1A,0.09,9/26/2017 17:19:59
543208.5,5403971,1A,0.1,9/26/2017 17:20:29
543208.5,5403971,1A,0.09,9/26/2017 17:20:59
543208.5,5403971,1A,0.1,9/26/2017 17:21:29
543208.5,5403971,1A,0.11,9/26/2017 17:21:59
543208.5,5403971,1A,0.11,9/26/2017 17:22:29
543208.5,5403971,1A,0.1,9/26/2017 17:22:59
543208.5,5403971,1A,0.09,9/26/2017 17:23:29
543208.5,5403971,1A,0.1,9/26/2017 17:23:59
543208.5,5403971,1A,0.1,9/26/2017 17:24:29
543208.5,5403971,1A,0.09,9/26/2017 17:24:59
543208.5,5403971,1A,0.1,9/26/2017 17:25:29
543208.5,5403971,1A,0.1,9/26/2017 17:25:59
543208.5,5403971,1A,0.12,9/26/2017 17:26:29
543208.5,5403971,1A,0.09,9/26/2017 17:26:59
543208.5,5403971,1A,0.1,9/26/2017 17:27:29
543208.5,5403971,1A,0.1,9/26/2017 17:27:59
543208.5,5403971,1A,0.1,9/26/2017 17:28:29
543208.5,5403971,1A,0.1,9/26/2017 17:28:59
543208.5,5403971,1A,0.1,9/26/2017 17:29:29
543208.5,5403971,1A,0.11,9/26/2017 17:29:59
543208.5,5403971,1A,0.1,9/26/2017 17:30:29
543208.5,5403971,1A,0.1,9/26/2017 17:30:59
543208.5,5403971,1A,0.1,9/26/2017 17:31:29
543208.5,5403971,1A,0.11,9/26/2017 17:31:59
